department,sample_type,panel,test,code,unit,result_type,normal_range
Haematology,Blood (EDTA),Anaemia Panel,Absolute Eosinphil Count,AEC,cumm,Numeric,100-600
Serology,Blood (EDTA),Serology,Anti Streptolysin Qualitative,ASO Qualitative,NA,Drop-down,Positive 1:2;Positive 1:4;Positive 1:8;Positive 1:16;Positive 1:32;Negative
Serology,Blood (EDTA),Serology,Anti Streptolysin Turbidometry,ASO Turbidometry,iU/ml,Numeric,5-200
Clinical Pathology,Blood (EDTA),Coagulation Factor,APTT (Control) (Blood),PTTC,sec,Numeric,38-40
Clinical Pathology,Blood (EDTA),Coagulation Factor,APTT (Test) (Blood),PTT,sec,Numeric,38-40
Haematology,Blood (EDTA),Differential Count,Basophil,AUTO_12,%,Numeric,0-1
Haematology,Blood (EDTA),Coagulation Factor,Bleeding Time,BT,sec,Numeric,
Haematology,Blood (EDTA),Cross Match,Blood Group (Relative),AUTO_16,,Drop-down,O+;A+;B+;AB+;O-;A-;B-;AB-
Biochemistry,Serum,Biochemistry,CA-125,AUTO_18,u/mm,Numeric,5-35
Biochemistry,Serum,Biochemistry,CA19-9,AUTO_20,u/ml,Numeric,0-27
Biochemistry,Serum,Electrolyte,Calcium (mmole/l),AUTO_22,mmole/l,Numeric,1-1.2
Biochemistry,Serum,,Calcium(mg/dl),Ca,mg/dl,Numeric,8.4-10.6
Urine,Urine,Urine Microscopy,Cast,AUTO_26,/hPF,Remark,
Haematology,Blood (EDTA),,CD4 Test,AUTO_28,,Remark,
Biochemistry,Serum,Lipid Profile,Cholesterol,AUTO_30,mg/dl,Numeric,150-200
Haematology,Blood (EDTA),Coagulation Factor,Clotting Time,CT,sec,Numeric,
Urine,Urine,Urine Microscopy,Crystal,AUTO_34,/hPF,Remark,
Microbiology,Body Fluid,CSF,Culture (CSF),AUTO_36,,Remark,
Microbiology,Body Fluid,Pyrotinial Fluid,Culture (Pyrotinial Fluid),AUTO_38,,Remark,
Histo Pathology,Body Fluid,Asitic Fluid,Cytology (Asitic Fluid),AUTO_40,,Remark,
Histo Pathology,Body Fluid,CSF,Cytology (CSF),AUTO_42,,Remark,
Histo Pathology,Body Fluid,Knee Joint Fluid,Cytology (Knee Joint Fluid),AUTO_44,,Remark,
Histo Pathology,Body Fluid,Pyrotinial Fluid,Cytology (Pyrotinial Fluid),AUTO_46,,Remark,
Haematology,Body Fluid,Asitic Fluid,Differential Count (Asitic Fluid),DC,,Remark,
Haematology,Body Fluid,Pus,Differential Count (Pus),DC,,Remark,
Urine,Urine,Urine Microscopy,Epithelial Cells,AUTO_52,/hPF,Remark,
Stool,Stool,Stool Microscopy w/o Concetration,Fat Droplets (w/o concentration),AUTO_54,NA,Remark,
Stool,Stool,Stool Microscopy with Concetration,Fat Droplets (with concentration),AUTO_56,NA,Remark,
Clinical Pathology,Body Fluid,Asitic Fluid,Gram Stain (Asitic Fluid),AUTO_58,,Remark,
Clinical Pathology,Body Fluid,,Gram Stain (Body Fluid),AUTO_60,NA,Remark,
Haematology,Blood (EDTA),,Haemoglobin,HB,gm/dl,Numeric,12-16
Haematology,Blood (EDTA),Cross Match,Haemoglobin (Relative),HB,gm/dl,Numeric,11.5-15.5
Haematology,Blood (EDTA),Anaemia Panel,Hb Electrophoresis,AUTO_66,NA,Drop-down,AA;AS;SS
Haematology,Blood (EDTA),,Hb Electrophoresis,AUTO_68,NA,Drop-down,AA;AS;SS
Biochemistry,Blood (EDTA),,Hb1AC,AUTO_70,%,Numeric,7-8
Serology,Blood (EDTA),Serology,HbsAg ELISA,AUTO_72,NA,Drop-down,Positive;Negative
Serology,Blood (EDTA),Serology,HbsAg Rapid,AUTO_74,NA,Drop-down,Positive;Negative
Urine,Urine,Urine LE/Nitrite,LE (Urine),AUTO_76,NA,Remark,
Clinical Pathology,Semen,Semen Analysis,Liquification time,AUTO_78,min,Numeric,20-30
Serology,Blood (EDTA),Cross Match,Malaria Parasite,AUTO_80,NA,Drop-down,Positive;Negative
Haematology,Blood (EDTA),Anaemia Panel,MCH,AUTO_82,per fL,Numeric,28-31
Haematology,Blood (EDTA),Anaemia Panel,MCHC,AUTO_84,g/dl,Numeric,34-36
Haematology,Blood (EDTA),Anaemia Panel,MCV,AUTO_86,per fL,Numeric,75-81
Vaginal,Vaginal,Vaginal Panel,Microscopy of KOH mount,AUTO_88,NA,Drop-down,Present;Absent
Vaginal,Vaginal,Vaginal Panel,Microscopy of Saline mount,AUTO_90,NA,Remark,
Clinical Pathology,Semen,Semen Analysis,Morphology,AUTO_92,,Drop-down,Normal;Abnornal
Clinical Pathology,Semen,Semen Analysis,Motility,AUTO_94,,Remark,
Urine,Urine,Urine LE/Nitrite,Nitrite,AUTO_96,NA,Remark,
Urine,Urine,Urine Microscopy,Others (Urine),AUTO_98,/hPF,Remark,
Haematology,Blood (EDTA),Anaemia Panel,Packed Cell Volume (PCV),PCV %,%,Numeric,45-55
Biochemistry,Urine,Glucose Tolerance Test (GTT),Parallel Urine Sugar (30 mins),AUTO_102,,Drop-down,Nil;Trace;1+;2+;3+;4+
Clinical Pathology,Semen,Semen Analysis,Parasite,AUTO_104,per hpf,Drop-down,Present;Absent
Haematology,Blood (EDTA),Cross Match,Patient Blood Group,AUTO_106,,Drop-down,O+;A+;B+;AB+;O-;A-;B-;AB-
Vaginal,Vaginal,Vaginal Panel,pH (Vaginal),AUTO_108,NA,Numeric,1-14
Haematology,Blood (EDTA),Anaemia Panel,Platelet Count,PLT,cumm,Numeric,100000-300000
Biochemistry,Serum,Biochemistry,PSA,PSA,ng/ml,Numeric,0.1-4
Clinical Pathology,Semen,Semen Analysis,Pus Cells (Semen),AUTO_114,/hpf,Numeric,
Stool,Stool,Stool Microscopy with Concetration,Quality,AUTO_116,NA,Remark,
